레벨,경험치
200,2207026470
201,2471869646
202,2768494003
203,3100713283
204,3472798876
205,3889534741
206,4356278909
207,4879032378
208,5464516263
209,6120258214
210,9792413142
211,10869578587
212,12065232231
213,13392407776
214,19325244420
215,19325244420
216,21064516417
217,22960322894
218,25026751954
219,27279159629
220,43646655406
221,46707921284
222,49971055773
223,53469029677
224,57211861754
225,74375420280
226,78094191294
227,81998900858
228,86098845900
229,90403788195
230,144646061112
231,148985442945
232,153455006233
233,158058656419
234,162800416111
235,211640540944
236,217989757172
237,224529449887
238,231265333383
239,238203293384
240,381125269414
241,392559027496
242,404335798320
243,416465872269
244,428959848437
245,557647802968
246,574377237057
247,591608554168
248,609356810793
249,627637515116
250,1004220024186
251,1034346627911
252,1065377023657
253,1097338334367
254,1130258484398
255,1164166238930
256,1199091226096
257,1235063962878
258,1272115881764
259,1310279358220
260,2902427248153
261,2931451520634
262,2960766035840
263,2990373696198
264,3020277433159
265,3050480207490
266,3080985009564
267,3111794859659
268,3142912808255
269,6412170711400
270,6412170711400
271,6476292418514
272,6541055342699
273,6606465896125
274,6672530555086
275,13478511721273
276,14826362893400
277,16308999182740
278,17939899101014
279,19733889011115
280,39862455802452
281,43848701382697
282,48233571520966
283,53056928673062
284,58362621540368
285,117892495511543
286,129681745062697
287,142649919568966
288,156914911525862
289,172606402678448
290,348664933410464
291,383531426751510
292,421884569426661
293,464073026369327
294,510480329006259
295,1031170264592643
296,1134287291051907
297,1247716020157097
298,1372487622172806
299,2058731433259209
300,-1